timestamp,node_id,parent_node_id,rank,position_x,position_y,energy_consumption,rssi,dio_received,dio_transmitted,dao_received,dao_transmitted,app_packet_received,app_packet_transmitted,packet_loss_rate,neighbor_count,ipv6_address,attack_active,attack_type,is_attacker,node_attack_type,has_geolife,geolife_progress
0,36,22,,665.07,388.2,0.01,-36.7,0,0,0,0,0,1,100,3,2001:db8::cb82:05c4:2288:5b3e,false,none,false,none,false,0
0,37,42,,841.6,102.32,0.01,-36.7,1,0,0,0,0,0,0,2,2001:db8::e218:f08c:2daa:1f4e,false,none,false,none,false,0
0,38,23,,650.72,150.96,0.01,-45.4,0,0,1,0,1,0,0,2,2001:db8::a391:1d5c:c249:0166,false,none,false,none,false,0
0,39,,,152.81,340.11,0.01,-41.6,0,0,0,0,0,1,100,0,2001:db8::d21d:ba87:321a:cbff,false,none,false,none,false,0
0,40,,,91.1,112.94,0.01,-66,1,1,0,0,0,1,50,4,2001:db8::3c5b:3fe8:d8d5:791f,false,none,false,none,false,0
0,41,,,275.85,112.01,0.01,-66.5,0,0,0,0,0,0,0,1,2001:db8::bbd9:c646:f567:5635,false,none,false,none,false,0
0,42,48,,807.67,107.01,0.01,-46,0,1,1,0,1,0,100,2,2001:db8::6aed:6109:c252:5e87,false,none,false,none,false,0
0,43,,1,491.59,301.24,0.01,-37.9,1,1,0,0,0,0,0,5,2001:db8::5517:cf73:50f9:779b,false,none,false,none,false,0
0,44,,1,515.96,366.7,0.01,-41.7,1,0,0,0,1,1,0,6,2001:db8::4eca:e122:251e:6c65,false,none,false,none,false,0
0,45,,,159.45,541.42,0.01,-64.8,0,0,0,0,0,0,0,1,2001:db8::233b:d162:a2ab:d677,false,none,false,none,false,0
0,46,35,2,446.11,430.25,0.01,-47.4,0,0,0,0,0,0,0,1,2001:db8::af94:3828:1504:e15d,false,none,false,none,false,0
0,47,42,,840.8,114.33,0.01,-40.1,1,0,0,1,0,1,50,2,2001:db8::4483:109f:822e:4c73,false,none,false,none,false,0
0,48,38,,733.94,188.53,0.01,-46.1,0,0,0,1,0,1,100,1,2001:db8::48dd:b6bd:04e5:3052,false,none,false,none,false,0
0,49,,1,377.75,213.54,0.01,-44.4,2,0,0,0,0,0,0,3,2001:db8::d209:a8e2:99c3:3a19,false,none,false,none,false,0
1000,0,,0,454,300,0.4,-66.8,21,5,11,0,29,5,0,6,2001:db8::eac7:2e2e:aec9:a958,false,none,false,none,false,0
1000,1,,,74.75,244.5,0.34,-63,54,3,0,0,0,7,0,15,2001:db8::b1dd:ee70:c4ab:985a,false,none,false,none,true,12.64
1000,2,,,60.94,142.34,0.23,-61.7,14,1,0,0,0,6,0,4,2001:db8::2e93:3235:b61b:c0f1,false,none,false,none,true,4.14
1000,3,,,60.54,153.19,0.22,-48.5,16,2,0,0,0,5,0,11,2001:db8::68e5:e25d:41a2:2765,false,none,false,none,true,7.10
1000,4,,,51.95,136.21,0.21,-36,10,5,0,0,0,4,0,4,2001:db8::5f86:3ab4:20b9:35d7,false,none,false,none,true,9.65
1000,5,,,88.51,247.27,0.31,-48.8,54,3,0,0,0,5,0,15,2001:db8::1608:a11b:2c87:023b,false,none,false,none,true,84.62
1000,6,,,86.21,255.09,0.33,-39.8,52,4,0,0,0,5,0,14,2001:db8::59da:8740:8598:652a,false,none,false,none,true,73.33
1000,7,,,86.33,249.47,0.3,-35,51,6,0,0,0,2,0,15,2001:db8::8138:7a45:508b:95cf,false,none,false,none,true,61.11
1000,8,,,88.68,258.4,0.27,-36.8,51,5,0,0,0,0,0,14,2001:db8::a89d:95be:3148:d943,false,none,false,none,true,3.94
1000,9,,,87.07,246.76,0.32,-41.3,54,3,0,0,0,6,0,15,2001:db8::2f11:2cea:6aab:eca2,false,none,false,none,true,10.00
1000,10,,,86.16,248.57,0.34,-38.5,52,5,0,0,0,6,0,15,2001:db8::97dd:357a:1d56:a1c7,false,none,false,none,true,68.75
1000,11,,,83.29,252.96,0.32,-53.7,51,5,0,0,0,3,0,14,2001:db8::c80c:5dc6:eca0:035e,false,none,false,none,true,91.67
1000,12,,,83.58,255.93,0.36,-48.2,51,5,0,0,0,6,0,14,2001:db8::23c2:82bf:2200:2302,false,none,false,none,true,16.67
1000,13,,,80.48,251.86,0.34,-54.3,54,2,0,0,0,5,0,14,2001:db8::714c:2ea4:6ecf:140f,false,none,false,none,true,84.62
1000,14,,,84.5,247.02,0.37,-61.3,55,2,0,0,0,8,0,15,2001:db8::1131:cfe5:0a9e:0a5f,false,none,false,none,true,28.21
1000,15,,,83.58,250.83,0.32,-39.8,53,3,0,0,0,4,0,14,2001:db8::d347:8449:7374:32d2,false,none,false,none,true,78.57
1000,16,,,87.07,247.15,0.3,-34,52,5,0,0,0,2,0,15,2001:db8::4716:014b:d4e0:89f6,false,none,false,none,true,6.21
1000,17,,,83.18,253.15,0.32,-69.6,54,2,0,0,0,2,0,14,2001:db8::0990:78ff:f94a:f23f,false,none,false,none,true,91.67
1000,18,,,94.79,499.45,0.2,-60.6,5,3,0,0,0,6,55.6,2,2001:db8::3fb4:b4e7:f55d:4a64,false,none,false,none,false,0
1000,19,,,124.74,84.92,0.22,-67.3,12,3,0,0,0,5,0,4,2001:db8::b8bf:6447:b6be:bad4,false,none,false,none,false,0
1000,20,32,,298.5,235.61,0.24,-47.6,10,2,0,2,0,7,18.2,3,2001:db8::ab10:941e:b741:5e30,false,none,false,none,false,0
1000,21,24,,327.5,252.74,0.21,-43.9,9,3,0,0,0,4,0,3,2001:db8::592f:f272:b60e:03d3,false,none,false,none,false,0
1000,22,44,,604.34,362.23,0.33,-41.5,16,5,6,3,16,5,0,4,2001:db8::95ac:7de6:f5c8:4387,false,none,false,none,false,0
1000,23,29,,572.09,177.99,0.18,-44.2,6,2,0,3,1,3,25,2,2001:db8::3cf3:b18c:77a8:b323,false,none,false,none,false,0
1000,24,,1,430.19,301.61,0.25,-34.3,22,1,0,3,4,6,0,5,2001:db8::4f02:0079:a77f:1f78,false,none,false,none,false,0
1000,25,,1,454.53,291.81,0.22,-32.5,24,2,1,2,3,3,0,6,2001:db8::cb7b:ef00:2be2:d83e,false,none,false,none,false,0
1000,26,22,,657.5,302.47,0.23,-39.9,9,5,0,3,0,5,38.5,2,2001:db8::ab2b:5a83:c74a:4820,false,none,false,none,false,0
1000,27,,,151.14,200.04,0.34,-31.4,53,3,0,0,0,4,0,14,2001:db8::246d:0e4d:036f:ee52,false,none,false,none,false,0
1000,28,22,,672.77,440.69,0.22,-44.3,4,3,0,1,0,7,72.7,1,2001:db8::0d39:b7a2:4e7e:420f,false,none,false,none,false,0
1000,29,25,2,481.57,175.88,0.2,-49.3,6,1,3,1,8,3,0,2,2001:db8::f87a:0b88:f998:611f,false,none,false,none,false,0
1000,30,43,,551.26,397.77,0.21,-48.4,8,4,0,1,0,4,11.1,2,2001:db8::29ee:a99c:8b1c:dacc,false,none,false,none,false,0
1000,31,,,52.06,490.49,0.17,-56.1,3,2,0,0,0,4,50,1,2001:db8::28ed:d3c5:dcce:f9fc,false,none,false,none,false,0
1000,32,,1,390.22,269.54,0.27,-39.5,21,4,2,2,7,4,0,7,2001:db8::1a3c:b3cd:96cc:ece7,false,none,false,none,false,0
1000,33,29,3,465.4,119.5,0.17,-42.9,1,4,0,0,0,5,88.9,1,2001:db8::b990:f1ca:bffc:33fd,false,none,false,none,false,0
1000,34,,,349.53,54.83,0.22,-69.2,2,6,0,0,0,5,81.8,1,2001:db8::4c33:f94d:7921:3f57,false,none,false,none,false,0
1000,35,,1,406.26,327.61,0.22,-38.5,18,5,1,2,2,3,0,5,2001:db8::8a4b:be14:4fb3:5bed,false,none,false,none,false,0
1000,36,22,,665.07,388.2,0.22,-36.6,13,4,0,2,0,4,0,3,2001:db8::cb82:05c4:2288:5b3e,false,none,false,none,false,0
1000,37,42,,841.6,102.32,0.2,-42.5,8,2,0,5,0,5,41.7,2,2001:db8::e218:f08c:2daa:1f4e,false,none,false,none,false,0
1000,38,23,,650.72,150.96,0.19,-41.5,2,5,2,0,6,1,0,2,2001:db8::a391:1d5c:c249:0166,false,none,false,none,false,0
1000,39,,,152.81,340.11,0.22,-41.6,0,5,0,0,0,6,100,0,2001:db8::d21d:ba87:321a:cbff,false,none,false,none,false,0
